学年,対象の漢字,読み,文章,ぶんしょう,英語,スペイン語
2,組,そ,{地域}の{自治会}が[組]{織}される。,{ちいき}の{じちかい}が[そ]{しき}される。,Local residents' associations are organized.,Se organizan asociaciones de residentes locales.
2,絵,え,パレットを{洗}わないでいたら、[絵]の{具}がカチカチになっちゃった。,パレットを{あら}わないでいたら、[え]の{ぐ}がカチカチになっちゃった。,"When I didn't wash my palette, the paint became sticky.","Cuando no lavé mi paleta, la pintura se volvió pegajosa."
2,線,せん,{電}[線]の{上}にカラスがとまっている。,{でん}[せん]の{うえ}にカラスがとまっている。,A crow is perched on the electric wire.,Un cuervo está posado sobre el cable eléctrico.
2,羽,は,{公園}のハトがいっせいに[羽]ばたく。,{こうえん}のハトがいっせいに[は]ばたく。,The pigeons in the park flap their wings all at once.,Las palomas del parque baten sus alas todas a la vez.
2,羽,はね,{空}からカラスの[羽]がひらひらと{落}ちてきた。,{そら}からカラスの[はね]がひらひらと{お}ちてきた。,Crow feathers fluttered down from the sky.,Plumas de cuervo revoloteaban desde el cielo.
2,考,かんが,{自分}の[考]えを{他}の{人}に{話}す。,{じぶん}の[かんが]えを{ほか}の{ひと}に{はな}す。,tell others what you think.,Dile a los demás lo que piensas.
2,考,こう,{冬休}みの{旅行計画}を[考]{案}する。,{ふゆやす}みの{りょこうけいかく}を[こう]{あん}する。,Devise travel plans for winter vacation.,Diseñar planes de viaje para las vacaciones de invierno.
2,聞,き,{校長先生}の{話}をじっとすわって[聞]く。,{こうちょうせんせい}の{はなし}をじっとすわって[き]く。,Sit still and listen to what the principal is saying.,Siéntate quieto y escucha lo que dice el director.
2,聞,ぶん,{新}[聞]{紙}にのっている{四}コママンガを{読}む。,{しん}[ぶん]{し}にのっている{よん}コママンガを{よ}む。,Read the four-panel comics that appear in newspapers.,Lea los cómics de cuatro paneles que aparecen en los periódicos.
2,肉,にく,{皮}[肉]を{言}ったけど{通}じてないみたいだ。,{ひ}[にく]を{い}ったけど{つう}じてないみたいだ。,"I tried to be sarcastic, but it didn't seem to get across.","Intenté ser sarcástico, pero no pareció entenderse."
2,自,し,ウソをついて{不}[自]{然}な{態度}になる。,ウソをついて{ふ}[し]{ぜん}な{たいど}になる。,He lies and behaves unnaturally.,Miente y se comporta de forma antinatural.
2,自,じ,{今回}のテストは[自]{信}がある。,{こんかい}のテストは[じ]{しん}がある。,I am confident in this test.,Tengo confianza en esta prueba.
2,自,みずか,トイレそうじを[自]ら{進}んで{引}き{受}ける。,トイレそうじを[みずか]ら{すす}んで{ひ}き{う}ける。,Be willing to take on the responsibility of cleaning the toilet.,Esté dispuesto a asumir la responsabilidad de limpiar el baño.
2,船,せん,{風}[船]が{空高}く{飛}んでいく。,{ふう}[せん]が{そらたか}く{と}んでいく。,Balloons fly high into the sky.,Los globos vuelan alto hacia el cielo.
2,船,ふな,{一}か{月間}の[船]{旅}に{出発}する。,{いち}か{げつかん}の[ふな]{たび}に{しゅっぱつ}する。,Set off on a month-long voyage.,Emprende un viaje de un mes de duración.
2,船,ふね,[船]の{近}くをイルカの{群}れが{通}る。,[ふね]の{ちか}くをイルカの{む}れが{とお}る。,A pod of dolphins passes near the ship.,Una manada de delfines pasa cerca del barco.
2,色,いろ,[色]えんぴつでぬり{絵}をする。,[いろ]えんぴつでぬり{え}をする。,Color with colored pencils.,Colorea con lápices de colores.
2,色,しき,{芸能人}がサインした[色]{紙}がかざられている。,{げいのうじん}がサインした[しき]{し}がかざられている。,It is decorated with colored paper signed by celebrities.,Está decorado con papeles de colores firmados por celebridades.
2,色,しょく,{自分}の{暮}らす{町}の{特}[色]について{調}べた。,{じぶん}の{く}らす{まち}の{とく}[しょく]について{しら}べた。,I researched the characteristics of the town where I live.,Investigué las características del pueblo donde vivo.
2,茶,ちゃ,お{客}さんにお[茶]を{出}す。,お{きゃく}さんにお[ちゃ]を{だ}す。,Serve tea to customers.,Servir té a los clientes.
2,行,い,おじいちゃんのお{見}まいに{病院}へ[行]く。,おじいちゃんのお{み}まいに{びょういん}へ[い]く。,I'm going to the hospital to see my grandpa.,Voy al hospital a ver a mi abuelo.
2,行,おこな,{公民館}で{絵}の{展示会}が[行]われた。,{こうみんかん}で{え}の{てんじかい}が[おこな]われた。,A painting exhibition was held at the community center.,Se realizó una exposición de pintura en el centro comunitario.
2,行,ぎょう,{会場}に[行]{列}ができている。,{かいじょう}に[ぎょう]{れつ}ができている。,There is a line at the venue.,Hay cola en el lugar.
2,行,こう,{最近}、{流}[行]しているデザインの{服}を{買}う。,{さいきん}、{りゅう}[こう]しているデザインの{ふく}を{か}う。,Buy clothes with designs that are trending these days.,Compra ropa con diseños que son tendencia estos días.
2,行,ゆ,この{物語}の[行]く{末}はどうなるんだろう。,この{ものがたり}の[ゆ]く{すえ}はどうなるんだろう。,I wonder how this story will end.,Me pregunto cómo terminará esta historia.
2,西,さい,{大阪出身}の{友達}が{関}[西]{弁}で{話}す。,{おおさかしゅっしん}の{ともだち}が{かん}[さい]{べん}で{はな}す。,My friend from Osaka speaks in Kansai dialect.,Mi amigo de Osaka habla en dialecto de Kansai.
2,西,せい,{美}しい[西]{洋}の{建物}の{写真}に{見}とれる。,{うつく}しい[せい]{よう}の{たてもの}の{しゃしん}に{み}とれる。,Admire the pictures of beautiful Western buildings.,Admire las fotografías de hermosos edificios occidentales.
2,西,にし,{夕方}になって{太陽}が[西]にしずんでいく。,{ゆうがた}になって{たいよう}が[にし]にしずんでいく。,"In the evening, the sun sets in the west.","Por la tarde, el sol se pone por el oeste."
2,親,おや,[親]と{大}げんかする。,[おや]と{おお}げんかする。,Have a big fight with your parents.,Ten una gran pelea con tus padres.
2,親,した,{山田}くんとは[親]しい{関係}だ。,{やまだ}くんとは[した]しい{かんけい}だ。,I have a close relationship with Yamada-kun.,Tengo una relación cercana con Yamada-kun.
2,親,しん,[親]{切}な{人}に{駅}までの{道}を{教}えてもらう。,[しん]{せつ}な{ひと}に{えき}までの{みち}を{おし}えてもらう。,Ask a kind person to show you the way to the station.,Pídele a una persona amable que te muestre el camino a la estación.
2,角,かく,{分度器}を{使}って[角]{度}を{測}る。,{ぶんどき}を{つか}って[かく]{ど}を{はか}る。,Measure angles using a protractor.,Mide ángulos usando un transportador.
2,角,かど,この[角]を{曲}がれば、{水族館}がある。,この[かど]を{ま}がれば、{すいぞくかん}がある。,"If you turn this corner, there is an aquarium.","Si doblas esta esquina, hay un acuario."
2,角,つの,{動物園}で{立派}な[角]の{生}えた{鹿}の{写真}をとった。,{どうぶつえん}で{りっぱ}な[つの]の{は}えた{しか}の{しゃしん}をとった。,I took a photo of a deer with magnificent antlers at the zoo.,Tomé una foto de un ciervo con magníficas astas en el zoológico.
2,言,い,だれにも[言]えない{秘密}をかかえる。,だれにも[い]えない{ひみつ}をかかえる。,I keep a secret that I can't tell anyone.,Guardo un secreto que no puedo contarle a nadie.
2,言,げん,パズルに{苦戦}している{弟}に{助}[言]する。,パズルに{くせん}している{おとうと}に{じょ}[げん]する。,Advice to my younger brother who is struggling with puzzles.,Un consejo para mi hermano menor que tiene dificultades con los acertijos.
2,言,こと,{意味}がわからない[言]{葉}を{辞典}で{調}べる。,{いみ}がわからない[こと]{ば}を{じてん}で{しら}べる。,Look up words you don't know the meaning of in a dictionary.,Busque palabras cuyo significado no conozca en un diccionario.
2,言,ごん,{留守電}に{伝}[言]を{残}して{返事}を{待}つ。,{るすでん}に{でん}[ごん]を{のこ}して{へんじ}を{ま}つ。,Leave a message on the answering machine and wait for a reply.,Deje un mensaje en el contestador y espere respuesta.
2,計,けい,{冬休}みの{宿題}の[計]{画}を{全}く{守}らない。,{ふゆやす}みの{しゅくだい}の[けい]{かく}を{まった}く{まも}らない。,I don't stick to my winter vacation homework plan at all.,No sigo en absoluto mi plan de tareas para las vacaciones de invierno.
2,計,はか,タイミングを{見}[計]らって{話}し{始}める。,タイミングを{み}[はか]らって{はな}し{はじ}める。,Start talking at the right time.,Empiece a hablar en el momento adecuado.
2,記,き,{海外旅行}の[記]{念写真}をさつえいする。,{かいがいりょこう}の[き]{ねんしゃしん}をさつえいする。,Send a commemorative photo of your overseas trip.,Envía una foto conmemorativa de tu viaje al extranjero.
2,記,しる,{大事}な{約束}をメモ{帳}に[記]しておく。,{だいじ}な{やくそく}をメモ{ちょう}に[しる]しておく。,Write down important promises on a notepad.,Escriba promesas importantes en un bloc de notas.
2,話,はな,{昔}の{思}い{出}を[話]す。,{むかし}の{おも}い{で}を[はな]す。,Talk about old memories.,Habla de viejos recuerdos.
2,話,はなし,{先生}の[話]の{後}に{質問}をする。,{せんせい}の[はなし]の{あと}に{しつもん}をする。,Ask questions after the teacher speaks.,Haga preguntas después de que el maestro hable.
2,話,ばなし,{長}[話]に{付}き{合}わされてうんざりする。,{なが}[ばなし]に{つ}き{あ}わされてうんざりする。,I get tired of having to deal with long conversations.,Me canso de tener que lidiar con largas conversaciones.
2,話,わ,かんちがいで{会}[話]がかみ{合}わなくなる。,かんちがいで{かい}[わ]がかみ{あ}わなくなる。,Conversations become incoherent due to differences.,Las conversaciones se vuelven incoherentes debido a las diferencias.
2,語,かた,{幼}ち{園}の{思}い{出}を[語]る。,{おさな}ち{えん}の{おも}い{で}を[かた]る。,Talk about your childhood memories.,Habla sobre tus recuerdos de la infancia.
2,語,ご,{国}[語]{辞典}でわからない{言葉}を{調}べる。,{こく}[ご]{じてん}でわからない{ことば}を{しら}べる。,Look up words you don't understand in a Japanese dictionary.,Busque palabras que no comprenda en un diccionario japonés.
2,読,とう,ここに[読]{点}を{入}れた{方}が{読}みやすいよ。,ここに[とう]{てん}を{い}れた{ほう}が{よ}みやすいよ。,It would be easier to read if you put a comma here.,Sería más fácil de leer si pones una coma aquí.
2,読,とく,{昔}の{教科書}である、[読]{本}が{図書館}で{保管}される。,{むかし}の{きょうかしょ}である、[とく]{ほん}が{としょかん}で{ほかん}される。,"Readers, which are old textbooks, are kept in the library.","Los lectores, que son libros de texto antiguos, se guardan en la biblioteca."
2,読,どく,[読]{者}からファンレターが{送}られてくる。,[どく]{しゃ}からファンレターが{おく}られてくる。,Readers send us fan letters.,Los lectores nos envían cartas de fans.
